Date,Amount,Category,Description
20-04-2020,123.5,Income,salary
21-05-2021,250.0,Income,freelance work
15-07-2022,89.75,Expense,groceries
30-08-2023,456.2,Expense,car maintenance
05-12-2023,3200.0,Income,side hustle
18-03-2024,150.0,Expense,utilities
25-06-2019,600.0,Expense,rent
10-09-2018,5000.0,Income,bonus
01-11-2021,30.0,Expense,coffee
23-12-2022,200.0,Income,salary
20-04-2020,123.5,Income,salary
21-05-2021,250.0,Income,freelance work
15-07-2022,89.75,Expense,groceries
30-08-2023,456.2,Expense,car maintenance
05-12-2023,3200.0,Income,side hustle
18-03-2024,150.0,Expense,utilities
25-06-2019,600.0,Expense,rent
10-09-2018,5000.0,Income,bonus
01-11-2021,30.0,Expense,coffee
23-12-2022,200.0,Income,salary
05-01-2023,450.0,Expense,electricity bill
11-02-2023,350.0,Income,consulting
22-03-2022,95.0,Expense,transportation
13-04-2021,120.0,Income,part-time job
16-05-2022,70.0,Expense,lunch
29-06-2023,275.0,Income,investment return
12-07-2021,600.0,Expense,healthcare
08-08-2020,450.0,Income,freelance work
19-09-2022,250.0,Expense,phone bill
03-10-2021,1250.0,Income,side hustle
17-11-2023,80.0,Expense,subscription service
28-12-2022,300.0,Income,bonus
14-01-2024,200.0,Expense,entertainment
09-02-2023,180.0,Income,salary
20-03-2021,90.0,Expense,meal out
05-04-2022,500.0,Income,consulting
15-05-2023,250.0,Expense,transportation
22-06-2022,150.0,Income,part-time job
17-07-2021,75.0,Expense,groceries
26-08-2022,325.0,Income,investment return
13-09-2023,400.0,Expense,utilities
21-10-2020,1000.0,Income,bonus
12-11-2022,55.0,Expense,coffee
09-12-2021,300.0,Income,side hustle
16-01-2024,250.0,Expense,healthcare
23-02-2022,700.0,Income,freelance work